,Rank,NCTId,PrimaryCompletionDate,BriefSummary,BriefTitle,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,PrimaryOutcomeDescription,Phase,Condition,ConditionMeshTerm,LocationCountry
786,787,NCT04342702,March 2021,"This is a multi-centre population-based follow-up study for all 504 patients with laboratory-confirmed COVID-19. This study establishes a standardized and structured clinical database to provide complete and multidimensional clinical diagnosis and treatment data of novel coronavirus pneumonia, which also support future epidemiological, infectious disease study and patients' prognosis, by collecting clinical data and the related data of patients with novel coronavirus pneumonia in Southern Zhejiang province.",A Study on the Prospective Cohort Library of COVID-19 in Southeran,Wenzhou Medical University,Xiaokun Li,sum score of SF 36 form in each time frame,,Follow-up|COVID-19|Infectious Diseases|Respiratory,COVID-19|Communicable Diseases|Infections,China|China
787,788,NCT04443712,"June 1, 2021",The objective of this study is to screen the patients seeking hospitalization in Ain Shams university hospitals and identify a cost effective tool for continuing screening the patients all through the epidemic period,Screening for Patients Admitted to Ain-Shams University Hospitals for SARS-COV-2 (COVID19),Ain Shams University,Samia Girgis,To measure the incidence of the new SARS-COV-2 (COVID19) among patients seeking hospitalization to Ain-Shams University Hospitals,,Coronavirus Disease 2019 (COVID19),COVID-19,Egypt
788,789,NCT04569786,"February 18, 2021","The primary objectives of this study is to evaluate the safety and tolerability of V590 versus placebo and to assess the immunogenicity of V590 on Day 28. The primary hypothesis is that at least one well-tolerated dose of V590 increases the geometric mean titers (GMTs) of anti-severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) spike serum neutralizing antibody, as measured by plaque reduction neutralization test (PRNT), compared to placebo.",Dose Ranging Trial to Assess Safety and Immunogenicity of V590 (COVID-19 Vaccine) in Healthy Adults (V590-001),,,"An adverse event (AE) is any untoward medical occurrence in a clinical study participant, temporally associated with the use of study intervention, whether or not considered related to the study intervention. Solicited injection-site AEs (redness, swelling, and tenderness/pain) will be assessed.|An AE is any untoward medical occurrence in a clinical study participant, temporally associated with the use of study intervention, whether or not considered related to the study intervention. Solicited systemic AEs (muscle pain, joint pain, headache, tiredness, fatigue, rash, nausea, joint swelling, oral lesions, and sweating more than usual) will be assessed.|An AE is any untoward medical occurrence in a clinical study participant, temporally associated with the use of study intervention, whether or not considered related to the study intervention. Unsolicited AEs will be assessed.|A medically attended adverse event (MAAE) is an AE in which medical attention is received during an unscheduled, non-routine outpatient visit, such as an emergency room visit, office visit, or an urgent care visit with any medical personnel for any reason. Any MAAE will be assessed.|A serious adverse event is ""life threatening,"" requires inpatient hospitalization or prolongation of existing hospitalization, results in persistent or significant disability/incapacity and is a congenital anomaly/birth defect. Any SAE will be assessed.|Serum samples will be collected and the presence of serum neutralization antibodies (SNAs) will be assessed using plaque reduction neutralization test (PRNT).",Phase 1,Coronavirus Disease (COVID-19),COVID-19,United States|United States|United States|United States|United States|United States|United States
789,790,NCT04542915,"August 31, 2021","As dental practices reopen their practices during a global pandemic, the risk of 2019 novel coronavirus (COVID-19) infection that dental hygienists face in providing dental care remains unknown. Estimating the occupational risk of COVID-19, and producing evidence on the types of infection control practices and dental practices that may affect COVID-19 risk, is therefore imperative. These findings could be used to describe the prevalence and incidence of COVID-19 among dental hygienists, determine what infection control steps dental hygienists take over time, describe dental hygienists' employment during the COVID-19 pandemic, and estimate whether infection control adherence in dental practice is related to COVID-19 incidence.",COVID-19-Related Health and Practices Among Dental Hygienists,American Dental Association,Cameron Estrich,2019 novel coronavirus (COVID-19) case as confirmed by clinician and/or detection of SARS-CoV-2 antigen or antibody,,SARS-CoV Infection|Anxiety|Depression|Occupational Problems|Severe Acute Respiratory Syndrome|Coronavirus Infection,Infections|Communicable Diseases|Coronavirus Infections|Severe Acute Respiratory Syndrome,United States
790,791,NCT04349202,"January 19, 2021","The purpose of this study is to determine how peoples' bodies respond to exposure to COVID-19. Employees of Beaumont Health in Michigan who are older than 18 years may be eligible to participate. Participants from other high-risk groups who are not Beaumont employees may also be recruited, as may family members of Beaumont employees who have tested positive for COVID-19. Participants will have blood drawn two or more times for serology testing. This serology test will determine if participants have detectable levels of the antibodies that our bodies develop to fight COVID-19 infection. Participants will fill out a questionnaire each time they provide a blood sample. The questionnaires include questions about participants' personal traits; their health; general questions about their risk to exposure; job and risk of exposure; symptoms, diagnosis, treatment of COVID-19 since last blood draw. Researchers will monitor participants' medical records in a confidential manner for one year after the last blood draw to help determine if people who develop antibodies to COVID-19 are protected against developing a COVID-19 infection in the future.There may be no direct benefits for participants; however, information from this study may benefit other people by increasing our understanding of COVID-19, how it spreads from person to person, and how people respond to fight off the infection.The results of the serology test are used for research only and will not affect clinical decisions regarding participants' treatment or quarantine",Beaumont Health Large-scale Automated Serologic Testing for COVID-19,William Beaumont Hospitals,"Matthew Sims, MD, PhD","Number of participants testing positive for the presence of IgG or IgA antibodies to SARS-CoV-2 using the EUROIMMUN Serology testing platform. Serology testing of Beaumont Health employees will allow an estimation of asymptomatic carriage and help determine level of nosocomial spread of COVID-19 within our institution among its employees. All participants will provide a minimum of 2 blood draws between 2 and 4 weeks apart to determine the presence of antibodies to COVID-19. Participants at medium risk for exposure in their job function at Beaumont will have 3 draws 2-4 weeks apart and people considered the highest risk, those who provide the direct patient care to COVID-19 patients, will be tested 2-4 weeks apart until the pandemic in Michigan is under control (estimated to be 8 blood draws).",,COVID-19|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2,COVID-19|Coronavirus Infections|Severe Acute Respiratory Syndrome,United States|United States
791,792,NCT04386252,June 2022,"This is an adaptive Phase I-II trial of a vaccine consisting of autologous dendritic cells previously loaded ex vivo with SARS-CoV-2 spike protein, with or without GM-CSF, to prevent COVID-19 in adults.",Phase I-II Trial of Dendritic Cell Vaccine to Prevent COVID-19 in Adults,,,Confirm safety of AV-COVID-19 by adverse event monitoring,Phase 1|Phase 2,COVID-19,COVID-19,
792,793,NCT04856111,"December 31, 2021","The antifibrotic agents, namely pirfenidone and nintedanib have been found to be effective in the treatment of idiopathic pulmonary fibrosis (IPF). Nintedanib has also been found to be effective in treating systemic sclerosis-related interstitial lung disease (ILD) and non-IPF progressive fibrosing ILDs. Pirfenidone has also been found beneficial unclassifiable ILDs. Whether these drugs would be effective in treating post-COVID lung fibrosis also is unknown. As the final pathway of lung fibrosis appears to be common among different diffuse parenchymal lung diseases (DPLDs), it is hoped that these antifibrotic agents might be helpful in post-COVID fibrosis. There are no randomized studies that have assessed the role of pirfenidone or nintedanib in post COVID fibrosis. In the current study, we aim to assess the efficacy and safety of pirfenidone and compare it with nintedanib in the treatment of post-COVID lung fibrosis.",Pirfenidone vs. Nintedanib for Fibrotic Lung Disease After Coronavirus Disease-19 Pneumonia,Postgraduate Institute of Medical Education and Research,Sahajal Dhooria,Forced vital capacity will be measured using spirometry. The predicted value will be calculated based on standard reference equations.,Phase 4,Novel Coronavirus-induced Lung Fibrosis,Pneumonia|Coronavirus Infections|COVID-19|Lung Diseases,India
793,794,NCT04748783,"April 7, 2021","Subjects (125) will be randomized to one of five mouthrinses and will be asked to give a saliva sample immediately before and after a 30-60 second mouthwash.||Saliva samples will be collected from subjects at 15-minute intervals thereafter up to one hour (15, 30, 45 and 60 min). The saliva will be used for RT-PCR detection of Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2) and viral infectivity assays, along with quantitative cytokine and chemokine concentration (pg/mL, Luminex).||Subjects will complete a short survey on the taste and experience of using the mouthwash.||Peripheral blood will be collected at the end of salivary collection. Subjects, except controls, will be provided materials and oral hygiene instruction related to daily use of oral hygiene products. In the seven-day period between study visit one and study visit two, subjects will be directed to brush with Colgate toothpaste (at least twice per day) and rinse with the Colgate mouthrinse (according to on-label procedures). Controls are asked to carry out their typical oral hygiene regimen with the products they typically use.||All subjects keep a daily diary of oral hygiene performance, product usage, COVID-19 symptoms and exposures. Subjects complete study visit two one week after the baseline visit during which additional salivary (1 time point, 2 mL of saliva over 5 min, no rinse) will occur and blood samples collected. each subject will undergo a periodontal exam.",Antiviral Efficacy and Acceptability of Mouth Rinses for Inactivation of COVID-19,,,Determination of (RT-PCR) of inactivity of SARS-CoV-2 cellular infectivity in COVID+ patient saliva|Determination of (RT-PCR) of inactivity of SARS-CoV-2 cellular infectivity in COVID+ patient saliva|Determination of (RT-PCR) of inactivity of SARS-CoV-2 cellular infectivity in COVID+ patient|Determination of (RT-PCR) of inactivity of SARS-CoV-2 cellular infectivity in COVID+ patient|Determination of (RT-PCR) of inactivity of SARS-CoV-2 cellular infectivity in COVID+ patient,Phase 2,COVID19|Coronavirus Infection|SARS CoV-2 Infection,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,United States
794,795,NCT04454372,"September 20, 2020","This case series describes the clinical characteristics, treatment and outcomes of patients with laboratory confirmed COVID-19 admitted to a 35 beds intensive care unit of a tertiary hospital in Northeast Brazil.",Clinical Characteristics and Outcomes of 187 Critically Ill Patients With Coronavirus Disease 2019 (COVID-19),Hospital Sao Domingos,José Raimundo Araujo de Azevedo,"A seven-category ordinal scale consisting of: 1. Death; 2. hospitalized, on invasive mechanical ventilation; 3. hospitalized, on non-invasive ventilation; 4. hospitalized, requiring supplemental oxygen; 5. hospitalized not requiring supplemental oxygen; 6. hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care. 7 Not hospitalized",,COVID-19,COVID-19|Critical Illness,
795,796,NCT04356495,"January 29, 2022","In adults with COVID-19 without criteria for hospitalization or oxygen therapy but with risk factors for aggravation, early treatment may avoid hospitalization, indication for oxygen therapy or death. No treatment is currently validated for this indication.",Trial of COVID-19 Outpatient Treatment in Individuals With Risk Factors for Aggravation,,,Proportion of participants with an occurrence of death|Proportion of participants who had an indication for oxygen therapy|Proportion of participants who had an indication for hospitalization,Phase 2|Phase 3,Corona Virus Infection|Sars-CoV2,Coronavirus Infections,France|France|France|France|France|France|France|France|France|France|France
796,797,NCT04554979,"July 15, 2020","The present study conducted to correlate symptoms not only constitutional and respiratory, but GIT as a principle presentation, with laboratory markers and COVID-19 severe acute respiratory syndrome (SARS-COV2) disease outcomes, as the duration of symptoms varies substantially between patients; the investigators undertook this study to determine the optimal time to predict COVID-19 outcomes based on real-time experience.",COVID-19 Disease Duration and GIT Manifestations. A New Disease Severity Classification. An Egyptian Experience,Cairo University,Mona Hegazy,The investigators tried to correlate disease severity with disease duration|spectrum of GIT manifestations in COVID-19 patients was investigated,,Covid19|Diarrhea,COVID-19|Diarrhea,Egypt
797,798,NCT04844658,"September 1, 2021","The objective of this study is to evaluate the efficacy and safety of NASAFYTOL® on COVID-19 positive hospitalized patients as a supportive treatment to standard-of-care in improving clinical parameters safely during hospital admission (maximum 14 days).||The study is a standard-of-care comparative, open, parallel two-arms and randomized trial in 50 adult patients positive to COVID-19 infection and hospitalized. It will be monocentric but may be extended to several investigation sites (multicentric) depending on the evolution of the epidemic within the hospitals.","Covid-19, Hospitalized, PatIents, Nasafytol",,,"Time to a 1-point decrease on the ordinal scale. The ordinal scale reflects a range score from uninfected to dead, where 0 is ""no clinical or virological evidence of infection"", 1 is ""no limitation of activities"", 2 is ""limitation of activities"", 3 is ""hospitalized, no oxygen therapy"", 4 is ""oxygen by mask or nasal prongs"", 5 is ""non-invasive ventilation or high-flow oxygen"", 6 is ""intubation and mechanical ventilation"", 7 is ""ventilation + additional organ support - pressors, RRT (renal replacement therapy), ECMO (extracorporeal membrane oxygenation)"", and 8 is ""death"".|Ordinal score at 14 days (or at hospital leave if <14 days) post randomization. The ordinal scale reflects a range score from uninfected to dead, where 0 is ""no clinical or virological evidence of infection"", 1 is ""no limitation of activities"", 2 is ""limitation of activities"", 3 is ""hospitalized, no oxygen therapy"", 4 is ""oxygen by mask or nasal prongs"", 5 is ""non-invasive ventilation or high-flow oxygen"", 6 is ""intubation and mechanical ventilation"", 7 is ""ventilation + additional organ support - pressors, RRT (renal replacement therapy), ECMO (extracorporeal membrane oxygenation)"", and 8 is ""death"".|Number of days hospitalization|Number of deads|Time to resolution of fever for at least 48 hours without antipyretics for 48 hours - Defined as ≤36.6°C (axilla), ≤37.2°C (oral) or ≤37.8°C (rectal or tympanic)|Proportion of participants with normalization at day 14 (or at hospital leave if <14 days)|Proportion of participants with oxygen therapy|Numbers of Adverse Events|Numbers of Serious Adverse Events|Numbers of Pill count taken by the patient|C-reactive proteins : Time to halving of (or achieve normal ) CRP levels compared to peak value during trial|Hematological values (included Lymphocyte Count) and others routine laboratory parameters (LDH, albumin, etc.): Time to normalization|Vitamin D serum concentration: comparison of concentration between inclusion and end of trial and between the 2 arms.",Not Applicable,Coronavirus Infection,Coronavirus Infections,Belgium
798,799,NCT04349631,"November 24, 2020",Hope Biosciences is conducting a research study of an investigational product called autologous adipose-derived mesenchymal stem cells (abbreviated as HB-adMSCs) to provide immune support against COVID-19. The study purpose is to evaluate the safety and efficacy of five IV infusions of HB-adMSCs in subjects with no signs of COVID-19.,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19,,,"Number of subjects that require hospitalization for COVID-19|Number of subjects that develop symptoms associated with COVID-19, such as fever, shortness of breath/difficulty breathing, cough",Phase 2,COVID-19,COVID-19,United States
799,800,NCT04565392,"November 1, 2021","Kit for reading vital signs (thermometer, wrist blood pressure device, finger oximeter) and with study drug is overnighted to qualified subjects with early symptoms of COVID-19. Subjects take a 20-milligram (mg) tab of famotidine or matching placebo twice a day, increase to 1 tablet every 8 hours if not better the 2nd day, and continue same for 30 days. Vital signs, symptoms, compliance etc are rechecked daily for the 30 days and once again 60 days after starting study drug. Consent, baseline, and follow-up are handled via internet plus calls/texts/virtual visits from study nurse or doctor as needed for clarifications and compliance.",Remotely-conducted Trial of Famotidine vs Placebo for Patients at Home With Coronavirus (COVID) of 2019 (COVID-19),,,"Proportion of patients who self-rate as 6 on Patients Global Impression or are hospitalized for COVID-19 or similar symptoms or seek medical help for worsening symptoms, or get short of breath and have oxygen saturation below 90%, or die of COVID-19|Proportion of patients who report a serious adverse event, i.e., one that causes hospitalization or death",Phase 4,Covid19,COVID-19,United States
800,801,NCT04386850,"November 15, 2020","The goal of this clinical trial is to investigate the therapeutic efficacy of rapidly correcting vitamin D deficiency in adults with the use of 25-hydroxyvitamin D3 [25(OH)D3] for reducing the risk of acquiring the SARS-CoV-2 (COVID-19) viral infection and mitigating morbidity and mortality associated with this infection. This evidence-based hypothesis is related to several observations. Macrophages, activated T and B lymphocytes have a vitamin D receptor and 1,25-dihydroxyvitamin D3 induces defensin protein synthesis, influences immunoglobulin production and modulates T-cell cytokine production and functions. 1,25-dihydroxyvitamin D3 also reduces the angiotensin-converting enzyme 2 (ACE2) that is believed to serve as the binding site and gateway for COVID-19 to become infectious. This is a multicenter randomized3 doubleblinded placebo-controlled study aimed at determining the benefits of 25(OH)D3 treatment for the prevention of COVID-19 infection and improving clinical outcomes in infected patients. The investigators plan to recruit 1500 subjects in 3 study groups that include hospital health providers, patients with a positive test for COVID-19 and their relatives with a negative test. Eligible subjects in each study group with a documented serum level of 25(OH)D < 20 ng/mL will be randomized. Recruited subjects will be given 25 mcg of 25(OH)D3 daily or an identically appearing placebo at the time of randomization for two months. Three hospitals will participate and the sample size is foreseen to be equally distributed between the three. Since the clinical trial is designed as minimal risk a formal committee for data monitoring is not foreseen. However, potential toxicity will be monitored every 4 weeks with a serum calcium, albumin and creatinine by the PI and the study coordinators. If the corrected serum calcium increases above 10.6 mg/dl and a repeat confirms that the calcium is above 10.6 mg/dL the subject will be dropped from the study and referred to his or her PCP. Early signs and symptoms of vitamin D toxicity associated with hypercalcemia are increased thirst, increase in frequency of urination, especially at night. The subjects will be followed up weekly by phone to ask about their sign and symptoms.",Oral 25-hydroxyvitamin D3 and COVID-19,,,"Percentage of patients with acute respiratory tract infection symptoms (e.g. fever, cough, dyspnea) with no other etiology that fully explains the clinical presentation accompanied by chest computed tomography (CT) scan findings compatible with Covid-19 or patients with a COVID-19 positive test by the polymerase chain reaction (PCR)|Percentage of mild, moderate and sever forms of COVID-19 based on WHO criteria|Percentage of patients who need to be hospitalized|Days from the first symptom/positive test to discharge from hospital/negative test|Rate of death due to COVID-19 during the study|Percentage of COVID patients who need oxygen support",Phase 2|Phase 3,COVID 19,COVID-19,"Iran, Islamic Republic of"
801,802,NCT04652648,"October 31, 2020",organizing an entirely no in-person contact clinical trial is feasible during a 22 COVID-19 pandemic 23|Remote smartphone 6-lead ECG monitoring is possible even in a group unfamiliar 24 with the technology 25|Hydroxychloroquine used prophylactically at 200 mg BID had no observable 26 cardiotoxicity 27|Additional study using this technique is warranted to look at reliability and cost-28 effectiveness,Rapid Development and Implementation of a Remote ECG-monitored Prospective Randomized Clinical Trial During a Pandemic: Hydroxychloroquine Prophylaxis in COVID-19 Household Contacts,Bryn Mawr Hospital,Luciano kapelusznik,The primary endpoint was development of COVID-19 symptoms with a positive coronavirus PCR test by Day 14.,Phase 4,Covid19|Hydroxychloroquine|Coronavirus Infection|Transmission|Prophylaxis,COVID-19|Coronavirus Infections,United States|United States|United States
802,803,NCT04666116,December 2020,"The main objective of the study is to evaluate the capacity of a novel nutritional supplement intervention including strains from the species Bifidobacterium longum, Bifidobacterium animalis subsp. Lactis and Lactobacillus rhamnosus, plus vitamin D, zinc and seleniumt) (immune system enhancer, antioxidant and anti-inflammatory capacity) to decrease the viral load by nasopharyngeal smear in patients admitted for COVID-19 coronavirus disease.",Changes in Viral Load in COVID-19 After Probiotics,Hospital de Sagunto,Xavier Cortés,"The main objective of the study is to evaluate the capacity of the nutritional supplement (immune system enhancer, antioxidant and anti-inflammatory capacity) to decrease the viral load by nasopharyngeal smear in patients admitted for COVID-19 coronavirus disease",Not Applicable,COVID-19,COVID-19,Spain|Spain
803,804,NCT04262921,"August 7, 2020","Infectious disease is the single biggest cause of death worldwide. New infectious agents, such as the SARS, MERS and other novel coronavirus, novel influenza viruses, viruses causing viral haemorrhagic fever (e.g. Ebola), and viruses that affect the central nervous system (CNS) such as TBEV & Nipah require investigation to understand pathogen biology and pathogenesis in the host. Even for known infections, resistance to antimicrobial therapies is widespread, and treatments to control potentially deleterious host responses are lacking.||In order to develop a mechanistic understanding of disease processes, such that risk factors for severe illness can be identified and treatments can be developed, it is necessary to understand pathogen characteristics associated with virulence, the replication dynamics and in-host evolution of the pathogen, the dynamics of the host response, the pharmacology of antimicrobial or host-directed therapies, the transmission dynamics, and factors underlying individual susceptibility.||The work proposed here may require sampling that will not immediately benefit the participants. It may also require analysis of the host genome, which may reveal other information about disease susceptibility or other aspects of health status.",French COVID Cohort,,,"Describe the clinical features of the illness or syndrome (cardio-respiratory signs or symptoms, and laboratory results) and complications, and determinants of severity.||Assessment daily for 15 days, then weekly until max 100 days, then 3 and 6 months.|Describe the response to treatments (including supportive care and novel therapeutics) by clinical, biological, radiological and virological assessments.||Assessment daily for 15 days, then weekly until max 100 days, then 3 and 6 months.|high-throughput sequencing of pathogen genomes obtained from respiratory tract, blood, urine, stool, CSF and other samples.||Assessment on Day 1, Day 2, Day 3, Day 5, Day 7, Day 9, Day 11, Day 13, Day 15 then weekly until max 100 days, then 3 and 6 months.|Characterise the innate and acquired immune responses, circulating levels of immune signalling molecules and gene expression profiling in peripheral blood.||Assessment on Day 1, Day 2, Day 3, Day 5, Day 7, Day 9, Day 11, Day 13, Day 15 then weekly until max 100 days, then 3 and 6 months.|Identify host genetic variants associated with disease progression or severity",,Coronavirus Infections,Infections|Coronavirus Infections,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France
804,805,NCT04844697,December 2021,"In the COVID-19 outbreak context, people living with rare diseases have been highly troubled with anxiety, loneliness, and depression. The project evaluates resilience and coping strategies to address pandemic impact by discussion in a dedicated focus group using a web-based platform. The goal is to improve, in a sustainable manner, the coping skills and psychological well-being of children, adolescents, and young adults affected by rare skeletal diseases.",Resilience and Coping in a Rare Skeletal Disease Population to Face Coronavirus (COVID-19) Outbreak Distress: a Longitudinal Study,Istituto Ortopedico Rizzoli,Luca Sangiorgi,"Ego-Resiliency Scale (ER89); 14 items; 4-point Likert scale (1=does not apply at all; 2=applies slightly, if at all; 3=applies somewhat; and 4=applies very strong); Score Resiliency Trait: 47-56 Very High, 35-46 High, 23-34 Undetermined, 11-22 Low, 0-10 Very Low|Ego-Resiliency Scale (ER89); 14 items; 4-point Likert scale (1=does not apply at all; 2=applies slightly, if at all; 3=applies somewhat; and 4=applies very strong); Score Resiliency Trait: 47-56 Very High, 35-46 High, 23-34 Undetermined, 11-22 Low, 0-10 Very Low|Ego-Resiliency Scale (ER89); 14 items; 4-point Likert scale (1=does not apply at all; 2=applies slightly, if at all; 3=applies somewhat; and 4=applies very strong); Score Resiliency Trait: 47-56 Very High, 35-46 High, 23-34 Undetermined, 11-22 Low, 0-10 Very Low",,Multiple Osteochondroma|Osteogenesis Imperfecta|Ollier Disease|Maffucci Syndrome,"Osteochondroma|Exostoses, Multiple Hereditary|Osteochondromatosis|Osteogenesis Imperfecta|Enchondromatosis",Italy
805,806,NCT04341441,"December 15, 2020","This is a prospective, multi-site study designed to evaluate whether the use of hydroxychloroquine in healthcare workers (HCW), Nursing Home Workers (NHW), first responders (FR), and Detroit Department of Transportation bus drivers (DDOT) in SE, Michigan, can prevent the acquisition, symptoms and clinical COVID-19 infection||The primary objective of this study is to determine whether the use of daily or weekly oral hydroxychloroquine (HCQ) therapy will prevent SARS-CoV-2 infection and COVID-19 viremia and clinical COVID-19 infection healthcare workers (HCW) and first responders (FR) (EMS, Fire, Police, bus drivers) in Southeast Michigan.||Preventing COVID-19 transmission to HCW, FR, and Detroit Department of Transportation (DDOT) bus drivers is a critical step in preserving the health care and first responder force, the prevention of COVID-19 transmission in health care facilities, with the potential to preserve thousands of lives in addition to sustaining health care systems and civil services both nationally and globally. If efficacious, further studies on the use of hydroxychloroquine to prevent COVID-19 in the general population could be undertaken, with a potential impact on hundreds of thousands of lives.",Will Hydroxychloroquine Impede or Prevent COVID-19,Henry Ford Health System,William W. O'Neill,"We will measure the difference in new cases of COVID-19 disease between randomized treatment arms. Plan statistical analyses will include the assumption that up 10% of HCW at risk will become infected if no prophylactic treatment is provided. Therefore we expect that HCQ treatment arm will provide a reduction in the number of SARS-CoV 2 infections by 30%, with an expected study retention rate of 90%, a sample size of ~1500 participants per group, will have an 80% power to detect the difference at p=0.05.",Phase 3,COVID-19|Coronavirus|Coronavirus Infections|SARS-CoV 2,COVID-19|Coronavirus Infections,United States|United States|United States|United States
806,807,NCT04707820,"June 10, 2021","The SARS-CoV-2 (COVID-19) infection is causing a global pandemic and a major health crisis in France.||Immunity is the body's ability to defend itself against infectious agents such as viruses. The progressive acquisition by a large part of the population of immunity to defend itself against the COVID-19 virus is one of the main mechanisms by which a resolution of this pandemic is hoped for. Recovery from infection and protection from the virus is likely to depend on the development of antibodies (proteins produced by the body to neutralize infectious agents) and T-cells (a type of white blood cell in the immune system) that can stop the virus from multiplying and killing it.||To date, the way and speed at which the T-lymphocytes active against the virus appear are not known. The development of biological tests to detect T-cells active against the virus in the blood of infected patients is therefore necessary.||In this context, we propose you to participate in a study that will study the immune system's response against the sars-CoV-2 virus during and after COVID-19 infection.",Antiviral T Lymphocyte Immunity During Acute COVID-19 Infection,,,The evolution of the number of interferon-gamma producing T lymphocytes (IFN) in response to protein S (Spike glycoprotein) will be assessed by enumeration in ELISPOT method,Not Applicable,Corona Virus Infection,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,France
807,808,NCT04982263,"May 31, 2021",The role of the coagulation parameters in predicting the severity of COVID-19 disease will be assessed,Blood Coagulation Abnormalities in COVID-19 (Corona Virus Disease-19) Patients,Sohag University,Hend Mohammed Abdelraheem Esmaeel,The results of blood coagulation profile will be correlated with degree of severity of illness,,Covid19,COVID-19,Egypt|Egypt
808,809,NCT04366063,"June 6, 2020","Acute Respiratory Distress Syndrome (ARDS) is the major cause of death in the COVID-19 pandemic. In this trial, the safety and efficacy of Mesenchymal Stem Cells (MSC) for the treatment of ARDS in COVID-19 patients will be assessed.",Mesenchymal Stem Cell Therapy for SARS-CoV-2-related Acute Respiratory Distress Syndrome,,,Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Evaluation of Pneumonia Improvement,Phase 2|Phase 3,Covid-19,"COVID-19|Respiratory Distress Syndrome|Respiratory Distress Syndrome, Newborn|Acute Lung Injury","Iran, Islamic Republic of"
809,810,NCT04706403,"February 1, 2021","The goal of this study is to develop evidence-based messages that effectively mitigate concerns of people at risk for not being vaccinated against COVID-19, with the ultimate goal of maximizing vaccine uptake in vulnerable populations. The investigators will collect data on COVID-19 disease and vaccine knowledge, beliefs, and intent to be vaccinated from an existing online panel. Results from this data collection will be used to develop effective messages and communication strategies. The investigators will test alternate versions of messages intended to reduce vaccine hesitancy and promote vaccine uptake among vaccine-hesitant individuals. This project will ultimately result in a set of tested, evidence-derived messages about vaccination for COVID-19.",Views on COVID-19 and Vaccination,"University of Massachusetts, Worcester",Kimberly Fisher,The survey includes questions that assess participants' intent to be vaccinated when a vaccine for COVID-19 becomes available.,Not Applicable,Covid19,COVID-19,United States
810,811,NCT04821570,"March 28, 2022","This is a trial of prospective collection of serial blood samples after administration of COVID-19 vaccine in patients with cancer who are receiving active cancer treatment, planned to start therapy with 14 days of consent, or have had stem cell transplant. Cancer treatments and administration of vaccine are not controlled by the study.",To Assess Immunogenicity of Coronavirus Disease 2019 (COVID-19) Vaccine in Cancer Patients Receiving Cancer Treatment,,,Elecsys Anti severe acute respiratory syndrome (SARS) coronavirus 2 (CoV 2) S quantitative assay|Elecsys Anti SARS CoV 2 S quantitative assay|Elecsys Anti SARS CoV 2 S quantitative assay|Elecsys Anti SARS CoV 2 S quantitative assay|Elecsys Anti SARS CoV 2 S quantitative assay|Elecsys Anti SARS CoV 2 S quantitative assay,,Breast Cancer|Lung Cancer|Melanoma (Skin),Melanoma,United States
811,812,NCT04665258,"June 14, 2021",The purpose of this study is to investigate the effects of COVID-19 Vaccination on semen parameters and to determine how long these possible changes may last following vaccination.,COVID-19 Vaccine and Impact on Fertility Study,University of Miami,"Ranjith Ramasamy, MD",As measured from semen samples.|As measured from semen samples.,,"Infertility, Male","COVID-19|Infertility|Infertility, Male",United States
812,813,NCT04604678,August 2021,"Study into the effects of daily use of metformin and low-dose naltrexone (LDN) for 4 weeks to reduce symptoms, disease severity, and recovery time from COVID-19.",Pilot Study Into the Use of Metformin and LDN for Patients With COVID-19,,,"Reduction in COVID-19 symptoms as measured with the COVID-19 Symptoms Severity Scale. The scale has a minimum score of 0 and a maximum of 24, with values ranging from 4-11 are considered 'mild symptoms', scores ranging 12-19 are considered 'moderate', and scores 20-24 are considered 'severe'.|Reduction in COVID-19 symptoms as measured with the COVID-19 Symptoms Severity Scale. The scale has a minimum score of 0 and a maximum of 24, with values ranging from 4-11 are considered 'mild symptoms', scores ranging 12-19 are considered 'moderate', and scores 20-24 are considered 'severe'.",Phase 2,Covid19,COVID-19,United States
813,814,NCT04883528,"August 30, 2022","The purpose of this study is to determine the effect of sacubitril/valsartan versus placebo on markers of cardiac injury, structure, and function among patients who recovered from acute COVID-19 infection.",Protecting With ARNI Against Cardiac Consequences of Coronavirus Disease 2019,,,,Phase 1|Phase 2,Covid19,COVID-19,United States
